# Glossary in tab-separated format -*- coding: utf-8 -*-
&mdash;	—
&ndash;	–
amusement	amusement (n), vertier (n)	
an	een	
anachronistic	anachronistisch	
anaconda	anaconda	
anally	anaal	
analog	analoog, analoge	
analogous	analoog, analoge	
analogue	analoog, analoge	
analogy	analogie	
analysis	analyse (f)	
analysis	analyse (f)	
analysis	analyse (f)	
analysis	analyse (f)	
analyst	analist (m), analiste (f)	
analyst	psycho-analist (m), psycho-analiste (f)	
analyst	systeemanalist (m), systeemanaliste (f)	
anarchism	anarchisme	
anarchist	m)	
anarchist	m), m)	
anatomy	anatomie	
ancestry	voorouderschap	
anchor	anker (n)	
anchor	het anker uitwerpen, verankeren	
anchovy	ansjovis (m)	
ancient	antiek	
Ancient Greece	Griekse oudheid	
and	en	
and	en	
and then some	en nog wat	
Andalusia	AndalusiÃ« (n)	
Andean flamingo	Andesflamingo (m)	
Andes	Andes	
Andorra	Andorra (n)	
Andrew	Andries	
android	androÃ¯de (m)	
anemia	anemie (f)	
anemone	anemoon	
angel	engel (m)	
anger	boosheid, woede	
angle	hengelen	
angle	hoek (m)	
angle	hoek (m)	
angle	hoek (m)	
angle	invalshoek (m), standpunt (n)	
anglophone	Engelssprekende "m, f"	
Angola	Angola	
angry	kwaad, kwade, boos, boze	
anguish	doodsangst, agonie, doodsstrijd, hevig lijden, martelgang	
animal	beest (n)	
animal	dier (n), beest (n)	
animal	dierlijk, dierlijke	
anise	anijs (m)	
Ankara	Ankara	
ankle	enkel (m)	
Ann	Anna	
Anna	Anna	
annexe	bijlage; bijgebouw
annihilate	vernietigen	
anno Domini	na Christus, in het jaar des Heren	
Anno Domini	na Christus, in het jaar des Heren	
annoy	ergeren, vervelen	
annual	jaarlijks, jaarlijkse	
annually	jaarlijks	
annul	annuleren	
annulment	tenietdoening, annulatie, herroeping	
anoa	anoa	
anomaly	anomalie (f)	
anomaly	anomalie (f)	
anomaly	anomalie (f), f)	
answer	antwoord (n)	
ant	mier (f)	
Antarctic	Antarctisch	
antarctic	antarctisch	
Antarctic Circle	Zuidpoolcirkel	
Antarctic Ocean	Antarctische Oceaan	
Antarctica	Antarctica (n)	
anteater	miereneter (m)	
antecedent	antecedent (n)	
antediluvian	antediluviaal	
antelope	antilope	
antenna	antenne (f)	
antenna	voelspriet (f)	
anthrax	miltvuur	
anti-Semite	antisemiet (m)	
anti-Semitism	anti-semitisme (n), jodenhaat (f)	
antibody	antilichaam (n), antideeltje (n)	
anticarcinogenic	anticarcinogeen, anticarcinogene	
anticlockwise	tegen de klok in	
Antigua and Barbuda	Antigua en Barbuda	
antimony	antimoon (n)	
antler	gewei (n)	
antonym	tegengestelde (n), antoniem (n)	
Antwerp	Antwerpen (n)	
anus	anus (m)	
anvil	aambeeld (n), aanbeeld (n)	
anvil	aambeeld (n), aanbeeld (n), aambeeldsbeentje (n), aanbeeldsbeentje (n)	
anywhere	overal	
ape	aap (m), apin (f), mensaap	
ape	na-apen, nadoen, nabootsen, imiteren	
aphrodisiac	afrodisiacum (n)	
apian	bijen-	
apocryphal	apocrief	
apology	verontschuldiging (f), excuses (n) (p)	
apostasy	afvalligheid (nl)	
apostrophe	afkappingsteken (n), weglatingsteken (n), apostrof (f)	
apothecary	apotheek (m)	
apothecary	apotheker (m)	
apparently	duidelijk (1) , ogenschijnlijk (2)	
appendicitis	blindedarmontsteking	
appendix	aanhangsel, appendix	
appendix	blinde darm	
appetiser	bittergarnituur, borrelhapjes (p)	
appetizer	bittergarnituur, borrelhapjes (p)	
applaud	applaudisseren	
applaud	applaudisseren	
apple	appel (m)	
apple blossom	appelbloesem (m)	
apple brandy	appelbrandewijn (m), calvados (m)	
apple butter	appeljam (m)	
apple core	klokhuis	
apple dumpling	appelbol (m)	
apple juice	appelsap (n)	
apple of love	tomaat (m)	
apple of somebody's eye	oogappel (m) (literally â€œeye-appleâ€)	
apple pie	appeltaart (m)	
apple sauce	appelmoes (n), appelcompote (m)	
apple tree	appelboom (m), appelaar (m)	
apple wine	cider (m)	
apple-cheeked	met appelwangen	
applesauce	flauwekul (m), zever (m)	
applesauce	flauwekul!	
appreciate	beseffen	
appreciate	in waarde stijgen	
appreciate	naar waarde schatten	
appreciate	waarderen	
approach	benaderen	
appropriate	aangewezen, geschikt, geschikte	
appropriate	aanpassen	
appropriate	geschikt, geschikte, passend, passende	
appropriate	toewijzen	
appropriate	zich toeÃ«igenen	
approval	instemming (f) goedkeuring (f)	
apricot	abrikoos (f)	
April	april	
apron	schort (n) (1)	
apuleius	Apuleius (m)	
Aquarius	Waterman (m)	
aquatic	aquatisch, aquatische	
aqueduct	aquaduct (n)	
aqueduct	aquaduct (n)	
Arab	Arabier (m)	
arabian oryx	Arabische oryx (m), witte oryx (m)	
Arabian Peninsula	Arabisch Schiereiland	
Arabic	Arabisch, Arabische	
Aragonese	Aragonees, (m) Aragonese (f)	
arbitrary	willekeurig	
arbitration	arbitratie	
arc	boog (m)	
archaeology	archeologie (f)	
archaic	archaÃ¯sch, archaÃ¯sche	
archangel	aartsengel (m)	
archduke	aartshertog	
archenemy	aartsvijand "m, f"	
archery	boogschieten (n)	
architect	architect (m)	
architecture	architectuur	
archive	archief (n)	
archive	archiveren	
Arctic Ocean	Arctische Oceaan, Noordelijke IJszee	
arduous	uitputtend (1), zwaar (1)	
are	are (m)	
are	bent	
are	zijn	
are	zijn	
are	zijn	
area	gebied (n), oppervlakte (f)	
argent	zilver	
argent	zilver (n)	
Argentina	ArgentiniÃ«	
Argentinian	Argentijn (m), Argentijnse (f)	
Argentinian	Argentijns, Argentijnse	
argon	argon (n)	
arguable	betwistbaar	
arguable	verdedigbaar	
argue	redetwisten	
argument	argument (n)	
argument	ruzie (f)	
arise	ontstaan	
arise	opstaan	
arisen	opstaan (1), ontstaan (2)	
aristocrat	aristocraat (m)	
Arkhangelsk	Archangelsk	
Arlon	Aarlen (n)	
arm	arm (m)	
arm	bewapenen	
arm	wapen (n)	
arm	wapen (n), wapenschild (n)	
armadillo	armadillo	
armband	rouwbandje (n) (mourning), protestbandje (n) (protest)	
armband	zwembandjes (n) (p), bandjes (n) (p)	
armed to the teeth	tot de tanden gewapend	
Armenia	ArmeniÃ«	
Armenian	Armeens (n)	
Armenian	Armeens, Armeense	
Armenian	ArmeniÃ«r (m), Armeense (f)	
armistice	wapenstilstand (m), staakt-het-vuren (n)	
armor	pantser (f)	
armour	pantser (f)	
armpit	oksel (m)	
army	leger	
Aromanian	Aromaans (n)	
aromatic	aromatisch	
arose	stond op (1), ontstond (2)	
arrange	regelen	
array	reeks (f)	
arrogant	arrogant	
arrow	pijl (m)	
arrow	pijl (m)	
arson	brandstichting (f)	
arsonist	brandstichter (m)	
art	kunst (f)	
art history	kunstgeschiedenis	
artery	slagader (m)	
artichoke	artisjok (m)	
artichoke bottom	artisjokbodem (m)	
artichokes	artisjokken "m, pl"	
article	artikel (n)	
article	artikel (n)	
article	artikel (n)	
article	artikel (n)	
article	lidwoord (n)	
artifact	artefact	
artificial	artificieel, kunstmatig	
artificial	kunstmatig, artificieel, onnatuurlijk, nagemaakt	
artificial	kunstmatig, nagemaakt, artificieel	
artificial intelligence	kunstmatige intelligentie (f) (1,2)	
artist	kunstenaar (m), kunstenares (f)	
artist	kunstenaar (m), kunstenares (f)	
as	als	
as	als	
asbestos	asbest	
ascend	stijgen	
ascendancy	overwicht, overhand	
Ascension Day	Hemelvaartsdag	
Asclepius	Asclepius	
ascribe	toeschrijven	
ash	as (f), asse (f)	
ash	es (m)	
ash	essenhout (n)	
ashtray	asbak (m)	
Asia	AziÃ« (n)	
Asian	Aziaat (m), Azische (f)	
Asian	Aziaat (m), Azische (f); IndiÃ«r (m), Indische (f)	
Asian	Aziaat (m), Azische (f); Oost-Aziaat (m), Oost-Azische (f)	
Asian	Aziatisch	
Asian lion	Perzische leeuw (m), Aziatische leeuw (m)	
ask	vragen	
ask for it	erom vragen	
asking price	vraagprijs	
asparagus	asperge (f)	
aspen	esp (m), ratelpopulier (m)	
aspirin	aspirientje (n)	
aspirin	aspirine	
ass	ezel (m)	
ass	kont (mf) , reet (mf)	
assailant	aanrander "c"	
Assamese	Assamitisch (n)	
assassin	moordenaar	
assassinate	vermoorden	
assassination	moord	
assault	aanranden	
asshole	klootzak, hufter, lul	
asshole	kontgat, reet	
assist	assisteren, bijstaan	
assist	voorzetten, een voorzet geven	
assistant	assistent (m)	
association	vereniging	
assure	verzekeren	
asterisk	asterisk (f), sterretje (n)	
asteroid	asteroÃ¯de, planetoÃ¯de	
asteroids	asteroÃ¯den "m,pl"	
astronaut	ruimtevaarder (m), astronaut (m)	
astronomy	astronomie (f), sterrenkunde (f)	
asymptomatic	asymptomatisch	
asymptote	asymptoot (m)	
at	om	
at	op	
at	op, bij	
at least	minstens, tenminste, althans	
at once	meteen, direct	
at once	tegelijkertijd	
at stake	op het spel, in gevaar	
ataxia	ataxie	
ate	at, aten	
atheism	atheÃ¯sme (n)	
Athena	Athene (f)	
